Index,lon,lat,row_number,col_number,annual_potential (MWh),provin
602,115.000000,23.750000,456,945,1860903.819775,Guangdong
603,115.312500,23.750000,456,946,2093800.848929,Guangdong
604,115.625000,23.750000,456,947,2093800.848929,Guangdong
605,115.937500,23.750000,456,948,2670458.412369,Guangdong
606,116.250000,23.750000,456,949,4924971.135389,Guangdong
607,116.562500,23.750000,456,950,4924971.135389,Guangdong
608,116.875000,23.750000,456,951,4666481.739722,Guangdong
609,117.187500,23.750000,456,952,205296.497823,Fujian
610,117.500000,23.750000,456,953,162651.193799,Fujian
621,97.812500,24.000000,457,890,3477.193987,Yunnan
625,99.062500,24.000000,457,894,292570.141288,Yunnan
626,99.375000,24.000000,457,895,452691.898922,Yunnan
627,99.687500,24.000000,457,896,371568.897257,Yunnan
628,100.000000,24.000000,457,897,681550.213882,Yunnan
629,100.312500,24.000000,457,898,987805.323078,Yunnan
630,100.625000,24.000000,457,899,279457.172398,Yunnan
631,100.937500,24.000000,457,900,206381.594000,Yunnan
632,101.250000,24.000000,457,901,204204.242686,Yunnan
633,101.562500,24.000000,457,902,239337.269526,Yunnan
634,101.875000,24.000000,457,903,857610.244562,Yunnan
635,102.187500,24.000000,457,904,212227.213466,Yunnan
636,102.500000,24.000000,457,905,212227.213466,Yunnan
637,102.812500,24.000000,457,906,2379226.854733,Yunnan
638,103.125000,24.000000,457,907,8464949.694204,Yunnan
639,103.437500,24.000000,457,908,5639625.085785,Yunnan
640,103.750000,24.000000,457,909,15778970.813340,Yunnan
641,104.062500,24.000000,457,910,15778970.813340,Yunnan
642,104.375000,24.000000,457,911,17808280.919596,Yunnan
643,104.687500,24.000000,457,912,9429532.256189,Yunnan
644,105.000000,24.000000,457,913,4789843.322151,Yunnan
645,105.312500,24.000000,457,914,4789843.322151,Yunnan
646,105.625000,24.000000,457,915,2888094.317418,Yunnan
647,105.937500,24.000000,457,916,2138598.233161,Yunnan
648,106.250000,24.000000,457,917,1325109.047942,Guangxi
649,106.562500,24.000000,457,918,3222099.576848,Guangxi
650,106.875000,24.000000,457,919,4639836.090381,Guangxi
651,107.187500,24.000000,457,920,4639836.090381,Guangxi
652,107.500000,24.000000,457,921,4420749.984106,Guangxi
653,107.812500,24.000000,457,922,4712341.891887,Guangxi
654,108.125000,24.000000,457,923,4712341.891887,Guangxi
655,108.437500,24.000000,457,924,5122844.597864,Guangxi
656,108.750000,24.000000,457,925,5122844.597864,Guangxi
657,109.062500,24.000000,457,926,3989387.493691,Guangxi
658,109.375000,24.000000,457,927,2751737.962825,Guangxi
