index,lat,lon,province
346,23.5,103.75,Yunnan
347,23.5,104.0625,Yunnan
348,23.5,104.375,Yunnan
349,23.5,104.6875,Yunnan
350,23.5,105,Yunnan
351,23.5,105.3125,Yunnan
352,23.5,105.625,Yunnan
353,23.5,105.9375,Yunnan
354,23.5,106.25,Guangxi
355,23.5,106.5625,Guangxi
356,23.5,106.875,Guangxi
357,23.5,107.1875,Guangxi
358,23.5,107.5,Guangxi
359,23.5,107.8125,Guangxi
360,23.5,108.125,Guangxi
361,23.5,108.4375,Guangxi
362,23.5,108.75,Guangxi
363,23.5,109.0625,Guangxi
364,23.5,109.375,Guangxi
365,23.5,109.6875,Guangxi
366,23.5,110,Guangxi
367,23.5,110.3125,Guangxi
368,23.5,110.625,Guangxi
369,23.5,110.9375,Guangxi
370,23.5,111.25,Guangxi
371,23.5,111.5625,Guangdong
372,23.5,111.875,Guangdong
373,23.5,112.1875,Guangdong
374,23.5,112.5,Guangdong
375,23.5,112.8125,Guangdong
376,23.5,113.125,Guangdong
377,23.5,113.4375,Guangdong
378,23.5,113.75,Guangdong
379,23.5,114.0625,Guangdong
380,23.5,114.375,Guangdong
381,23.5,114.6875,Guangdong
382,23.5,115,Guangdong
383,23.5,115.3125,Guangdong
384,23.5,115.625,Guangdong
385,23.5,115.9375,Guangdong
386,23.5,116.25,Guangdong
387,23.5,116.5625,Guangdong
388,23.5,116.875,Guangdong
389,23.75,99.0625,Yunnan
390,23.75,99.375,Yunnan
391,23.75,99.6875,Yunnan
392,23.75,100,Yunnan
393,23.75,100.3125,Yunnan
394,23.75,100.625,Yunnan
395,23.75,100.9375,Yunnan
396,23.75,101.25,Yunnan
397,23.75,101.5625,Yunnan
398,23.75,101.875,Yunnan
399,23.75,102.1875,Yunnan
400,23.75,102.5,Yunnan
401,23.75,102.8125,Yunnan
402,23.75,103.125,Yunnan
403,23.75,103.4375,Yunnan
404,23.75,103.75,Yunnan
405,23.75,104.0625,Yunnan
406,23.75,104.375,Yunnan
407,23.75,104.6875,Yunnan
408,23.75,105,Yunnan
409,23.75,105.3125,Yunnan
410,23.75,105.625,Yunnan
411,23.75,105.9375,Yunnan
412,23.75,106.25,Guangxi
413,23.75,106.5625,Guangxi
414,23.75,106.875,Guangxi
415,23.75,107.1875,Guangxi
416,23.75,107.5,Guangxi
417,23.75,107.8125,Guangxi
418,23.75,108.125,Guangxi
419,23.75,108.4375,Guangxi
420,23.75,108.75,Guangxi
421,23.75,109.0625,Guangxi
422,23.75,109.375,Guangxi
423,23.75,109.6875,Guangxi
424,23.75,110,Guangxi
425,23.75,110.3125,Guangxi
426,23.75,110.625,Guangxi
427,23.75,110.9375,Guangxi
428,23.75,111.25,Guangxi
429,23.75,111.5625,Guangxi
430,23.75,111.875,Guangdong
431,23.75,112.1875,Guangdong
432,23.75,112.5,Guangdong
433,23.75,112.8125,Guangdong
434,23.75,113.125,Guangdong
435,23.75,113.4375,Guangdong
436,23.75,113.75,Guangdong
437,23.75,114.0625,Guangdong
438,23.75,114.375,Guangdong
439,23.75,114.6875,Guangdong
440,23.75,115,Guangdong
441,23.75,115.3125,Guangdong
442,23.75,115.625,Guangdong
443,23.75,115.9375,Guangdong
444,23.75,116.25,Guangdong
445,23.75,116.5625,Guangdong
446,23.75,116.875,Guangdong
447,23.75,117.1875,Fujian
448,23.75,117.5,Fujian
449,24,97.8125,Yunnan
450,24,99.0625,Yunnan
451,24,99.375,Yunnan
452,24,99.6875,Yunnan
453,24,100,Yunnan
454,24,100.3125,Yunnan
455,24,100.625,Yunnan
456,24,100.9375,Yunnan
457,24,101.25,Yunnan
458,24,101.5625,Yunnan
459,24,101.875,Yunnan
460,24,102.1875,Yunnan
461,24,102.5,Yunnan
462,24,102.8125,Yunnan
463,24,103.125,Yunnan
464,24,103.4375,Yunnan
465,24,103.75,Yunnan
466,24,104.0625,Yunnan
467,24,104.375,Yunnan
468,24,104.6875,Yunnan
469,24,105,Yunnan
470,24,105.3125,Yunnan
471,24,105.625,Yunnan
472,24,105.9375,Yunnan
473,24,106.25,Guangxi
474,24,106.5625,Guangxi
475,24,106.875,Guangxi
476,24,107.1875,Guangxi
477,24,107.5,Guangxi
478,24,107.8125,Guangxi
479,24,108.125,Guangxi
480,24,108.4375,Guangxi
481,24,108.75,Guangxi
482,24,109.0625,Guangxi
483,24,109.375,Guangxi
484,24,109.6875,Guangxi
485,24,110,Guangxi
486,24,110.3125,Guangxi
487,24,110.625,Guangxi
488,24,110.9375,Guangxi
489,24,111.25,Guangxi
490,24,111.5625,Guangxi
491,24,111.875,Guangxi
492,24,112.1875,Guangdong
493,24,112.5,Guangdong
494,24,112.8125,Guangdong
495,24,113.125,Guangdong
496,24,113.4375,Guangdong
497,24,113.75,Guangdong
498,24,114.0625,Guangdong
499,24,114.375,Guangdong
500,24,114.6875,Guangdong
501,24,115,Guangdong
502,24,115.3125,Guangdong
503,24,115.625,Guangdong
504,24,115.9375,Guangdong
505,24,116.25,Guangdong
506,24,116.5625,Guangdong
507,24,116.875,Guangdong
508,24,117.1875,Fujian
509,24,117.5,Fujian
510,24,117.8125,Fujian
511,24.25,97.8125,Yunnan
512,24.25,98.125,Yunnan
513,24.25,98.4375,Yunnan
514,24.25,98.75,Yunnan
515,24.25,99.0625,Yunnan
516,24.25,99.375,Yunnan
517,24.25,99.6875,Yunnan
518,24.25,100,Yunnan
519,24.25,100.3125,Yunnan
520,24.25,100.625,Yunnan
521,24.25,100.9375,Yunnan
522,24.25,101.25,Yunnan
523,24.25,101.5625,Yunnan
524,24.25,101.875,Yunnan
525,24.25,102.1875,Yunnan
526,24.25,102.5,Yunnan
527,24.25,102.8125,Yunnan
528,24.25,103.125,Yunnan
529,24.25,103.4375,Yunnan
530,24.25,103.75,Yunnan
531,24.25,104.0625,Yunnan
532,24.25,104.375,Yunnan
533,24.25,104.6875,Yunnan
534,24.25,105,Yunnan
535,24.25,105.3125,Guangxi
536,24.25,105.625,Guangxi
537,24.25,105.9375,Guangxi
538,24.25,106.25,Guangxi
539,24.25,106.5625,Guangxi
