Index,col,row,lat,lon,suitable_area(m2),Average_CF,Annual potential (GWh)
388,468,962,26.75,120.3125,8.6E+08,0.332,13383.19
389,468,963,26.75,120.625,8.0E+08,0.448,16926.14
390,468,964,26.75,120.9375,3.7E+08,0.446,7698.40
391,468,965,26.75,121.25,3.9E+07,0.449,823.80
392,469,961,27,120,3.3E+07,0.071,110.94
393,469,962,27,120.3125,5.0E+08,0.165,3897.93
394,469,963,27,120.625,8.6E+08,0.386,15515.34
395,469,964,27,120.9375,7.1E+08,0.430,14390.66
396,469,965,27,121.25,5.1E+08,0.441,10530.18
397,469,966,27,121.5625,0.0E+00,0.445,0.00
398,470,962,27.25,120.3125,1.4E+08,0.105,670.37
399,470,963,27.25,120.625,7.1E+08,0.296,9893.96
400,470,964,27.25,120.9375,8.6E+08,0.396,15926.52
401,470,965,27.25,121.25,3.2E+08,0.427,6502.32
402,470,966,27.25,121.5625,2.0E+07,0.440,414.12
403,471,963,27.5,120.625,3.4E+08,0.198,3181.90
404,471,964,27.5,120.9375,8.3E+08,0.349,13614.26
405,471,965,27.5,121.25,8.1E+08,0.407,15394.56
406,471,966,27.5,121.5625,3.2E+08,0.428,6456.45
407,471,967,27.5,121.875,0.0E+00,0.436,0.00
408,472,963,27.75,120.625,1.4E+08,0.119,787.64
409,472,964,27.75,120.9375,7.5E+08,0.266,9309.93
410,472,965,27.75,121.25,8.1E+08,0.378,14442.32
411,472,966,27.75,121.5625,8.5E+08,0.408,16358.12
412,472,967,27.75,121.875,5.3E+08,0.425,10511.70
413,472,968,27.75,122.1875,0.0E+00,0.433,0.00
414,473,964,28,120.9375,3.6E+08,0.163,2727.33
415,473,965,28,121.25,7.0E+08,0.320,10510.74
416,473,966,28,121.5625,8.5E+08,0.379,15183.82
417,473,967,28,121.875,8.2E+08,0.410,15762.09
418,473,968,28,122.1875,1.7E+08,0.424,3428.34
419,473,969,28,122.5,0.0E+00,0.429,0.00
420,474,964,28.25,120.9375,3.8E+07,0.114,203.28
421,474,965,28.25,121.25,3.7E+08,0.251,4316.75
422,474,966,28.25,121.5625,6.8E+08,0.351,11151.82
423,474,967,28.25,121.875,8.5E+08,0.399,15935.87
424,474,968,28.25,122.1875,6.1E+08,0.416,11883.55
425,474,969,28.25,122.5,0.0E+00,0.423,0.00
426,475,965,28.5,121.25,2.0E+06,0.191,17.97
427,475,966,28.5,121.5625,4.1E+08,0.322,6139.92
428,475,967,28.5,121.875,8.3E+08,0.387,15098.66
429,475,968,28.5,122.1875,8.4E+08,0.409,16231.91
430,475,969,28.5,122.5,1.9E+08,0.418,3712.56
431,476,966,28.75,121.5625,3.2E+08,0.281,4175.69
432,476,967,28.75,121.875,8.2E+08,0.368,14256.18
433,476,968,28.75,122.1875,8.4E+08,0.401,15917.21
434,476,969,28.75,122.5,6.5E+08,0.412,12511.04
435,476,970,28.75,122.8125,1.0E+07,0.415,195.14
436,477,966,29,121.5625,2.2E+08,0.238,2488.31
437,477,967,29,121.875,7.7E+08,0.333,12000.68
438,477,968,29,122.1875,8.4E+08,0.387,15319.47
439,477,969,29,122.5,8.4E+08,0.405,16064.84
440,477,970,29,122.8125,2.7E+08,0.409,5175.94
441,478,966,29.25,121.5625,2.5E+08,0.209,2481.38
442,478,967,29.25,121.875,3.7E+08,0.312,5348.72
443,478,968,29.25,122.1875,8.3E+08,0.377,14751.81
444,478,969,29.25,122.5,8.4E+08,0.400,15868.05
445,478,970,29.25,122.8125,4.2E+08,0.404,8050.68
446,479,966,29.5,121.5625,2.0E+08,0.193,1822.20
447,479,967,29.5,121.875,3.2E+08,0.296,4506.11
448,479,968,29.5,122.1875,8.3E+08,0.373,14601.68
449,479,969,29.5,122.5,8.4E+08,0.398,15748.78
450,479,970,29.5,122.8125,5.0E+08,0.400,9370.94
451,480,967,29.75,121.875,3.3E+08,0.299,4565.46
452,480,968,29.75,122.1875,6.4E+08,0.376,11270.68
453,480,969,29.75,122.5,8.2E+08,0.397,15401.76
454,480,970,29.75,122.8125,7.7E+08,0.398,14482.32
455,481,964,30,120.9375,0.0E+00,0.210,0.00
456,481,966,30,121.5625,1.9E+08,0.293,2590.34
457,481,967,30,121.875,4.9E+08,0.335,7669.21
458,481,968,30,122.1875,4.2E+08,0.380,7460.89
459,481,969,30,122.5,7.8E+08,0.397,14524.03
460,481,970,30,122.8125,7.9E+08,0.398,14722.28
461,482,963,30.25,120.625,3.3E+08,0.203,3133.29
462,482,964,30.25,120.9375,5.8E+08,0.246,6703.28
463,482,965,30.25,121.25,2.5E+08,0.284,3334.69
464,482,966,30.25,121.5625,7.2E+08,0.313,10610.20
465,482,967,30.25,121.875,8.0E+08,0.347,12974.00
466,482,968,30.25,122.1875,6.5E+08,0.389,11881.94
